,title,abstract
11,"The Effect of Bilateral Anodal Transcranial Direct Current Stimulation versus Treadmill Training on Brain Activities, Gait Functions, Level of Participation and Enjoyment of Children with Cerebral Palsy: A Randomized Controlled Trial Protocol.","Background:Cerebral palsy (CP) possesses bilateral sensory-motor cortical excitability alterations. In past studies, researchers have applied unilateral anodal transcranial direct stimulation (tDCS) with inconsistent findings.Objective:Examining the effects of treadmill training with either unilateral or bilateral anodal tDCS stimulation on brain activities, gait, and body functions of children with CP.Design:Randomized-clinical-trial.Participants:Eighty children with CP will be allocated into: treadmill/bilateral-tDCS, treadmill/unilateral-tDCS, treadmill/sham-tDCS, and treadmill groups. Additional 20 neurotypical children will be recruited for comparison.Intervention:Planned intervention will implement ten-sessions of treadmill training (50% of maximum-ground speed) either with unilateral-tDCS over left sensory-motor, or bilateral-tDCS over left/right sensory-motor areas. Brain activities, gait, body functions, and participation will be assessed at pre-intervention, post-intervention, and at one-month follow-up.Result and discussion:This study would contribute to extant findings on the use of tDCS stimulation in children with CP and to our understanding of the appropriateness of the planned outcome measures.Keywords:Cerebral palsy; balance; brain activity; gait functions; quality of life; transcranial direct current stimulation.
"
12,Neuromodulation: A combined-therapy protocol for speech rehabilitation in a child with cerebral palsy.,"Introduction:Transcranial direct current stimulation (tDCS) modulates cortical activity and potentiates functional gains achieved during therapeutic protocols. The aim of Integrative Speech Therapy Protocol is to rehabilitate speech in patients with impairments regarding neuropyschomotor development by combining oral motor stimuli, specific articulatory production, and the stimulation of phonological aspects of language.Objective:Investigate the effect of transcranial direct current stimulation combined to integrative speech therapy in a child with cerebral palsy.Methods:We performed a case study with tDCS and speech therapy in a patient with cerebral palsy and apraxia of speech. To assess the patient's speech, we used a parameterized test for the Brazilian Portuguese speech - ABFW. The CFCS and Vicking Speech Scales presented level IV and III, respectively. The patient underwent two periods with ten stimulation sessions each: first with anodal stimulation over Broca's area; and second over the left dorsolateral prefrontal cortex. Two indices were calculated: the percentage of consonants correct; and percentage of consonants correct-revised. Descriptive statistics were employed for the clinical data. For the outcomes, changes in each score were calculated as the difference in pre-intervention and post-intervention using Wilcoxon-Mann-Whitney test.Results:Increases were found in percentage of correct consonants indices as well as to produce two-syllable and three-syllable words after both types of stimulation, characterized mainly by correct vowels that marked the presence of the syllable. Number of phonemes increased 0 to 4 at first the stimulation and 4 to 10 at the second.Conclusion:The combined-therapy program contributed to improve the speech rehabilitation results in a patient with cerebral palsy."
13,The Effects of tDCS with NDT on the Improvement of Motor Development in Cerebral Palsy.,"We investigated the effects of transcranial direct current stimulation (tDCS) over the primary motor cortex (M1) with neurodevelopmental treatment (NDT) on the improvement of motor development and reduction of spasticity in children with cerebral palsy (CP). Twenty-four children with CP were allocated to two groups: the tDCS + NDT group and the only NDT group, done 3 times per week for 5 weeks. The Gross Motor Function Measurement (GMFM-88) and Box and Block Test (BBT) were used to assess changes in motor development, and the Modified Ashworth Scale (MAS) was used to evaluate changes in spasticity. All measurements were carried out at 3 time points: baseline, post-intervention, and 1 month follow-up. We found improvements in the GMFM-88 total scores and in each individual GMFM-88 dimension scores, favoring the tDCS + NDT group over the only NDT group. The BBT scores improved only in the tDCS + NDT group. In addition, the MAS scores reduced in the hemibody with significant motor impairment only in the tDCS + NDT group. The present findings suggest that tDCS combined with NDT can be considered a promising intervention for children with CP, as it can enhance motor development and reduce spasticity in this population.Keywords:cerebral palsy; gross motor function; motor development; neurodevelopmental training; transcranial direct current stimulation.
"
14,Evaluating the Effects of 5-Hz Repetitive Transcranial Magnetic Stimulation With and Without Wrist-Ankle Acupuncture on Improving Spasticity and Motor Function in Children With Cerebral Palsy: A Randomized Controlled Trial.,"
Objective: The goal of this study is to explore the effect of wrist-ankle acupuncture combined with 5-Hz repetitive transcranial magnetic stimulation (rTMS) on improving spastic state and motor function of children with spastic cerebral palsy by measuring electrophysiological parameters and behaviors. Methods: Twenty-five children with spastic cerebral palsy were enrolled in a single-blind and randomized controlled trial. The control group received 20 sessions of 5-Hz rTMS over the affected hemisphere with 1,000 pulses. The experimental group was given wrist-ankle acupuncture on the basis of the control group. Gross motor function measure (GMFM-66), muscle tension, and electrophysiological parameters of the two groups were assessed at baseline and after intervention. Results: After treatment, the GMFM-66 scores in the same groups were significantly improved (p < 0.001). Besides, the R-value of soleus, gastrocnemius, and hamstring muscle decreased (p < 0.05), and the results showed a trend of shortening MEP latency, increasing amplitude and duration (p < 0.05). Compared to the controlled group, the experimental group displayed more excellent changes in the GMFM-66 scores and motor evoked potential (MEP) latency. The statistical results showed that the increase of GMFM-66 score and the shortening of MEP latency in the experimental group were greater than that in the control group (p < 0.05). However, no significant differences were found in the assessment of muscle tension, amplitude, and duration of MEPs between two groups (p > 0.05). Conclusion: Wrist-ankle acupuncture combined with 5-Hz rTMS is optimal to improve gross motor function and enhance the conductivity of corticospinal tract in children with cerebral palsy but cannot highlight its clinical superiority in improving spasticity. Clinical Trial Registration: [http://www.chictr.org.cn/index.aspx], identifier [chictr2000039495].Keywords:corticospinal tract (CST); motor evoked potential (MEP); repetative transcranial magnetic stimulation; spasm; wrist-ankle acupuncture.
"
15,Combined effect of hydrotherapy and transcranial direct-current stimulation on children with cerebral palsy: A protocol for a randomized controlled trial.,"Background:Cerebral palsy (CP) is a neurodevelopmental disorder caused by a brain injury resulting in poor coordination and motor control deficits, which is one of the most common physical disabilities in children. CP brings a heavy burden on families and society and becomes a significant public health issue. In recent years, hydrotherapy, and transcranial direct current stimulation (tDCS) as a physical therapy for CP is developing rapidly. When hydrotherapy and tDCS are used to treat separately, it has positive therapeutic effect in children with CP. The development of new therapies in combination with physical rehabilitation approaches is critical to optimize functional outcomes. tDCS has attracted interest in this context, because of significant functional improvements have been demonstrated in individuals with brain injuries after a short period of cerebral stimulation. Since the onset of this work, tDCS has been used in combination with constraint-induced therapy, virtual reality therapy to potentiate the treatment effect. Up to now, there are no studies on the effect of a combined application of hydrotherapy and tDCS in children with CP. We will conduct a 2-arm parallel clinical trial to investigate the effect of a combined application of tDCS and hydrotherapy.Methods and analysis:This study is an outcome assessor and data analyst-blinded, randomized, controlled superiority trial during the period from October 2021 to December 2023. CP patients meeting the inclusion criteria will be allocated in a 1:1 ratio into the treatment group (hydrotherapy plus tDCS), or the control group (treatment as usual). All participants will receive 30 sessions of treatment over 10 weeks. The primary outcomes will be the difference in the Gross Motor Function Assessment and Pediatric Balance Scale during rest and activity. The secondary outcomes will be the difference in adverse effects between the control and treatment groups.Conclusions:This study aims to estimate the efficacy of a combined application of tDCS and hydrotherapy in patients with CP.Trial registration:This study protocol was registered in Chinese ClinicalTrials.gov, ID: ChiCTR2100047946."
16,Editorial: Novel Multimodal Approaches in Non-invasive Brain Stimulation.,"
No abstract availableKeywords:brain stimulation; multimodal; repetitive transcranial magnetic stimulation (rTMS); tACS-EEG; transcranial electrical stimulation (tES).
"
17,Brain functional reorganization in children with hemiplegic cerebral palsy: Assessment with TMS and therapeutic perspectives.,"Transcranial magnetic stimulation (TMS) can be a useful tool for the assessment of the brain functional reorganization in subjects with hemiplegic cerebral palsy (HCP). In this review, we performed a systematic search of all studies using TMS in order to explore the neuroplastic changes that occur in HCP patients. We aimed at investigating the usefulness of TMS to explore cortical excitability, plasticity and connectivity changes in HCP. Children with HCP due to unilateral lesions of the corticospinal system had ipsilateral motor evoked potentials (MEPs) similar to those recorded contralaterally. TMS studies demonstrated that occupational and constraint-induced movement therapy were associated with significant improvements in contralateral and ipsilateral corticomotor projection patterns. In addition, after intensive bimanual therapy, children with HCP showed increased activation and size of the motor areas controlling the affected hand. A TMS mapping study revealed a mediolateral location of the upper and lower extremity map motor cortical representations. Deficits in intracortical and interhemispheric inhibitory mechanisms were observed in HCP. Early hand function impairment correlated with the extension of brain damage, number of involved areas, and radiological signs of corticospinal tract (CST) degeneration. Clinical mirror movements (MMs) correlated with disability and CST organization in subjects with HCP and a positive relationship was found between MMs and MEPs strength. Therefore, TMS studies have shed light on important pathophysiological aspects of motor cortex and CST reorganization in HCP patients. Furthermore, repetitive TMS (rTMS) might have therapeutic effects on CST activities, functional connectivity and clinical status in children with HCP.Keywords:Corticospinal tract; Hemiplegic cerebral palsy; Mirror movements; Motor evoked potentials; Repetitive transcranial magnetic stimulation; Transcranial magnetic stimulation.
"
18,Measurement error and reliability of TMS metrics collected from biceps and triceps in individuals with chronic incomplete tetraplegia.,"Transcranial magnetic stimulation (TMS) is used to investigate corticomotor neurophysiology associated with functional recovery in individuals with spinal cord injury (SCI). There is insufficient evidence about test-retest measurement properties of TMS in SCI. Therefore, we investigated test-retest agreement and reliability of TMS metrics representing corticomotor excitability, output, gain, map (representation), and inhibition in individuals with cervical SCI. We collected TMS metrics from biceps and triceps muscles because of the relevance of this proximal muscle pair to the cervical SCI population. Twelve individuals with chronic C3-C6 SCI participated in two TMS sessions separated by ≥ 2 weeks. Measurement agreement was evaluated using t tests, Bland-Altman limits of agreement and relative standard error of measurement (SEM%), while reliability was investigated using intra-class correlation coefficient (ICC) and concordance correlation coefficient (CCC). We calculated the smallest detectable change for all TMS metrics. All TMS metrics except antero-posterior map coordinates and corticomotor inhibition were in agreement upon repeated measurement though limits of agreement were generally large. Measures of corticomotor excitability, output and medio-lateral map coordinates had superior agreement (SEM% < 10). Metrics representing corticomotor excitability, output, and inhibition had good-to-excellent reliability (ICC/CCC > 0.75). The smallest detectable change for TMS metrics was generally high for a single individual, but this value reduced substantially with increase in sample size. We recommend use of corticomotor excitability and recruitment curve area owing to their superior measurement properties. A modest group size (20 or above) yields more stable measurements, which may favor use of TMS metrics in group level modulation after SCI.Keywords:Measurement error; Reliability; Smallest detectable change; Spinal cord injury; Transcranial magnetic stimulation.
"
19,"Treatment of major depressive disorder with bilateral theta burst stimulation: study protocol for a randomized, double-blind, placebo-controlled multicenter trial (TBS-D).","Repetitive transcranial magnetic stimulation (rTMS) of the dorsolateral prefrontal cortex (dlPFC) is currently evolving as an effective and safe therapeutic tool in the treatment of major depressive disorder (MDD). However, already established rTMS treatment paradigms are rather time-consuming. With theta burst stimulation (TBS), a patterned form of rTMS, treatment time can be substantially reduced. Pilot studies and a randomized controlled trial (RCT) demonstrate non-inferiority of TBS to 10 Hz rTMS and support a wider use in MDD. Still, data from placebo-controlled multicenter RCTs are lacking. In this placebo-controlled multicenter study, 236 patients with MDD will be randomized to either intermittent TBS (iTBS) to the left and continuous TBS (cTBS) to the right dlPFC or bilateral sham stimulation (1:1 ratio). The treatment will be performed with 80% resting motor threshold intensity over six consecutive weeks (30 sessions). The primary outcome is the treatment response rate (Montgomery-Asberg Depression Rating Scale reduction ≥ 50%). The aim of the study is to confirm the superiority of active bilateral TBS compared to placebo treatment. In two satellite studies, we intend to identify possible MRI-based and (epi-)genetic predictors of responsiveness to TBS therapy. Positive results will support the clinical use of bilateral TBS as an advantageous, efficient, and well-tolerated treatment and pave the way for further individualization of MDD therapy.Trial registration: ClinicalTrials.gov (NCT04392947).Keywords:Brain stimulation; Major depression; Multicenter; Randomized controlled trial; Theta burst stimulation; Transcranial magnetic stimulation.
"
20,Contribution of altered corticospinal microstructure to gait impairment in children with cerebral palsy.,"Objective:Corticospinal tract (CST) injury may lead to motor disorders in children with Cerebral Palsy (CP). However, the precise underlying mechanisms are still ambiguous. We aimed to characterize the CST structure and function in children with CP and determine their contributions to balance and gait impairments.Method:Twenty-six children with spastic CP participated. Transcranial magnetic stimulation (TMS) and diffusion tensor imaging (DTI) were utilized to characterize CST structure and function. Common clinical measures were used to assess gait speed, endurance and balance, and mobility.Results:CST structure and function were significantly altered in children with CP. Different abnormal patterns of CST structure were identified as either abnormal appearance of brain hemispheres (Group-1) or semi-normal CST appearance (Group-2). We found significant correlations between the DTI parameters of the more affected CST and gait features only in Group-1.Conclusion:CST structure and function are abnormal in children with CP and these abnormalities may contribute to balance and gait impairment in some children with CP.Significance:Our findings may lead to the development of further investigations on the mechanisms underlying gait impairment in children with CP and on decision-making for more effective rehabilitation.Keywords:Cerebral palsy; Corticospinal tract; Diffusion tensor imaging; Gait impairment; Lower extremity; Spasticity; Transcranial magnetic stimulation.
"
21,"Effect of Anodal Transcranial Direct Current Stimulation Combined With Cognitive Training for Improving Cognition and Language Among Children With Cerebral Palsy With Cognitive Impairment: A Pilot, Randomized, Controlled, Double-Blind, and Clinical Trial.","About 30-45% of cerebral palsy (CP) patients have cognitive impairment. Previous studies showed the evidence that transcranial direct current stimulation (tDCS) may have some benefits in attention-deficit/hyperactivity disorder, autism spectrum disorder, and motor development in CP. The aim of this study is to evaluate the effect of tDCS on cognition, language, and activities of daily living (ADL) among children with CP with cognitive impairment. It was a pilot, randomized, controlled, double-blind, clinical trial in a tertiary pediatric hospital, and 13 children with CP and a cognitive age under 42 months were enrolled. tDCS group (n = 8) had active tDCS and cognitive training (20 min/session, total 20 sessions, for 12 weeks) and sham group (n = 5) had sham tDCS and cognitive training. Primary outcome was the Bayley Scales of Infant Development II (BSID II). Secondary outcomes were the Pediatric Evaluation of Disability Inventory (PEDI), the Laboratory Temperament Assessment Battery (Lab-TAB), the Early Childhood Behavior Questionnaire (ECBQ), the Korean version of MacArthur-Bates Communicative Development Inventories (M-B CDI-K), the Sequenced Language Scale for Infants (SELSI) and the Preschool Receptive-Expressive Language Scale (PRES). After intervention, the tDCS group showed significant improvements in all measurements (p < 0.05) except the M-B CDI-K (grammar), whereas the sham group only showed significant improvements in the Lab-TAB (manipulation domain), the ECBQ (attentional shifting), and the M-B CDI-K (comprehension). The between-group differences in the degree of post-intervention improvement were not statistically significant. The degree of improvement was associated with better baseline cognitive function and younger age (p < 0.05). There were no major adverse events after tDCS. The combined application of tDCS and cognitive training was feasible and associated with improvements in cognitive function, ADL, and language among children with CP with cognitive impairment. However, considering that it is a pilot study, further larger-scale systematic investigation is needed. Clinical Trial Registration: The trial was registered in the Clinical Research Information Service database, identifier: KCT0003023.Keywords:cerebral palsy; child; cognitive dysfunction; language; transcranial direct current stimulation.
"
